id;nom;prenom;ville;email;telephone;specialite;structure;rpps_id;organisation;accepte_nouveau_patient;titre
4305f5e9-be5a-4ccf-8792-7e07d7017363;Radio Plus;Cabinet;Nancy;radio.plus@sante.fr;03 43 56 65 54;2;e65145bb-ce57-4320-b0a8-6c0ba06def6d;;1;1;Cab.
af7bb2f1-cc52-3388-b9bc-c0b89e7f4c5b;Paul;Marine;Paris;Marine.Paul@hotmail.fr;02 36 11 25 88;1;3444bdd2-8783-3aed-9a5e-4d298d2a2d7c;98537711172;0;1;Dr.
b994a36f-794f-3ddc-b267-99673661466d;Guichard;Laurence;Paris;Laurence.Guichard@club-internet.fr;+33 8 99 14 03 98;1;3444bdd2-8783-3aed-9a5e-4d298d2a2d7c;41489857901;0;1;Dr.
8236bcbf-4c06-3d0e-8ab0-c4964e02c4ea;Pichon;Arnaude;Paris;Arnaude.Pichon@yahoo.fr;06 61 50 63 81;4;3444bdd2-8783-3aed-9a5e-4d298d2a2d7c;47075706032;0;1;Dr.
8ae1400f-d46d-3b50-b356-269f776be532;Klein;Gabrielle;Paris;Gabrielle.Klein@live.com;+33 (0)3 90 27 98 80;1;3444bdd2-8783-3aed-9a5e-4d298d2a2d7c;90028646751;0;1;Dr.
085c44e7-6245-3b10-9c1a-92f09524ef2a;Gallet;Valérie;Paris;Valrie.Gallet@dbmail.com;+33 (0)9 29 33 51 05;2;3444bdd2-8783-3aed-9a5e-4d298d2a2d7c;08869616497;0;1;Dr.
dada1285-f235-3ad2-bd7d-f58d68c30a73;Goncalves;Noël;Paris;Nol.Goncalves@free.fr;+33 5 82 74 18 66;2;3444bdd2-8783-3aed-9a5e-4d298d2a2d7c;69525780948;0;1;Dr.
51c6c5a5-0815-3ff1-b0e4-ac216319e526;Besson;Aurélie;Joubert;Aurlie.Besson@gmail.com;+33 (0)3 76 13 23 05;3;372c1de7-4d31-3d01-9c92-77e69467d4e3;03633699723;0;1;Dr.
592692c8-4a8c-3f91-967b-fde67ebea54d;Costa;Marc;Joubert;Marc.Costa@wanadoo.fr;+33 1 42 89 11 30;3;372c1de7-4d31-3d01-9c92-77e69467d4e3;26675175554;0;1;Dr.
0768e78b-12c8-3694-b89b-d0a7451a8fb1;Descamps;Alexandria;Joubert;Alexandria.Descamps@club-internet.fr;+33 (0)1 75 74 98 33;4;372c1de7-4d31-3d01-9c92-77e69467d4e3;79003481902;0;1;Dr.
f9bd589a-99ef-39f7-9984-af26e95c7150;Roger;Philippine;Diaz-sur-Boulanger;Philippine.Roger@hotmail.fr;0815977032;5;255ecef6-14b9-3b5c-a40e-901665f4ed28;37085473119;0;1;Dr.
bdd2672d-f4e6-3fd1-88db-d27e97b4d1e0;Martel;Denise;Diaz-sur-Boulanger;Denise.Martel@tele2.fr;+33 1 57 80 28 75;2;255ecef6-14b9-3b5c-a40e-901665f4ed28;81555292256;0;1;Dr.
7c76c93d-1b70-35eb-96d5-34c2d9d741c4;Marchand;Suzanne;Diaz-sur-Boulanger;Suzanne.Marchand@sfr.fr;+33 (0)2 83 66 69 68;4;255ecef6-14b9-3b5c-a40e-901665f4ed28;89071319926;0;1;Dr.
656c9034-bf19-33a0-beec-9a959ee83cd7;Parent;Tristan;Lucas;Tristan.Parent@laposte.net;+33 (0)2 81 93 20 11;5;80756589-93f3-3ab7-92dd-377dbea5ea4d;91677789685;0;1;Dr.
2ae94f01-8332-3c16-bf4c-eb1d64929253;Joly;Patricia;Lucas;Patricia.Joly@gmail.com;+33 4 24 93 22 37;5;80756589-93f3-3ab7-92dd-377dbea5ea4d;35718775930;0;1;Dr.
68202db3-920d-35dc-b547-e52c53ec5885;Meunier;Michelle;Lucas;Michelle.Meunier@noos.fr;08 97 18 92 13;1;80756589-93f3-3ab7-92dd-377dbea5ea4d;96526776222;0;1;Dr.
3eeec083-d6fe-3cf7-b0da-e2b09a261db9;Barbier;Claude;Carre-sur-Turpin;Claude.Barbier@wanadoo.fr;+33 (0)7 69 71 23 39;1;5f7d3d80-3c4b-386a-a23e-74de4a1e0b19;05154780495;0;1;Dr.
529fa71e-5a6c-3360-9579-81abc41e865f;Aubert;Louis;Carre-sur-Turpin;Louis.Aubert@free.fr;+33 7 68 13 29 54;3;5f7d3d80-3c4b-386a-a23e-74de4a1e0b19;47528509445;0;1;Dr.
e6f97aad-b672-3407-92ac-54b26d95d628;Berger;Olivie;Carre-sur-Turpin;Olivie.Berger@sfr.fr;0421147513;4;5f7d3d80-3c4b-386a-a23e-74de4a1e0b19;58545532736;0;1;Dr.
05644ac0-c4cb-36bf-a0cf-409075eb20c4;Leduc;Aimée;Carre-sur-Turpin;Aime.Leduc@laposte.net;+33 (0)4 85 19 99 00;4;5f7d3d80-3c4b-386a-a23e-74de4a1e0b19;14015596432;0;1;Dr.
c7c71a7a-d6e1-3aa3-8aa8-987cbef516b0;Mendes;Jean;Carre-sur-Turpin;Jean.Mendes@wanadoo.fr;0220429087;1;5f7d3d80-3c4b-386a-a23e-74de4a1e0b19;91970997132;0;1;Dr.
d7e254f4-7e01-395a-b668-6f86e3444906;Legros;Louis;Carre-sur-Turpin;Louis.Legros@club-internet.fr;02 23 75 20 59;5;5f7d3d80-3c4b-386a-a23e-74de4a1e0b19;75544026520;0;1;Dr.
41ac1467-4874-3e88-a636-444eae7dc457;Blanc;Rémy;Carre-sur-Turpin;Rmy.Blanc@sfr.fr;+33 (0)6 34 60 92 42;5;5f7d3d80-3c4b-386a-a23e-74de4a1e0b19;89459669943;0;1;Dr.
15d3e128-b47c-3030-a1c8-cfb09942054a;Pascal;Gilles;Carre-sur-Turpin;Gilles.Pascal@sfr.fr;08 12 96 04 73;5;5f7d3d80-3c4b-386a-a23e-74de4a1e0b19;68661117852;0;1;Dr.
9b4aa9d2-fb6a-3e07-9b5a-a792ffb4b3f3;Huet;Jacqueline;Carre-sur-Turpin;Jacqueline.Huet@tele2.fr;01 58 91 85 40;1;5f7d3d80-3c4b-386a-a23e-74de4a1e0b19;22958855216;0;1;Dr.
905735e4-bd41-3991-8462-0b21a962ecc9;Seguin;Audrey;Moreno;Audrey.Seguin@laposte.net;0184365032;2;c302d11b-d5b8-310a-bbc5-9dd4400eb2c9;37054578375;0;1;Dr.
03f24d7b-efda-3fbe-ae53-0c0c0edef089;Grenier;Josette;Moreno;Josette.Grenier@wanadoo.fr;06 43 92 58 43;2;c302d11b-d5b8-310a-bbc5-9dd4400eb2c9;72002111175;0;1;Dr.
8b34ba8b-5775-31a9-9ca6-1cf955c9ab84;Le Roux;Bernadette;Moreno;Bernadette.LeRoux@laposte.net;02 01 42 83 17;2;c302d11b-d5b8-310a-bbc5-9dd4400eb2c9;09906566536;0;1;Dr.
b0458f20-e264-3ab4-8153-47268dd936bc;Delattre;Andrée;Moreno;Andre.Delattre@dbmail.com;+33 6 03 08 18 43;2;c302d11b-d5b8-310a-bbc5-9dd4400eb2c9;45029595027;0;1;Dr.
3688814f-1b08-313b-8287-18febcc544d6;Leleu;Josette;Moreno;Josette.Leleu@sfr.fr;+33 (0)1 48 67 86 03;2;c302d11b-d5b8-310a-bbc5-9dd4400eb2c9;29320958755;0;1;Dr.
b05657bc-ecf5-3a76-960a-c20e41af60a0;Vasseur;Corinne;Moreno;Corinne.Vasseur@sfr.fr;0977376152;2;c302d11b-d5b8-310a-bbc5-9dd4400eb2c9;28825113944;0;1;Dr.
2192c51f-1d1f-3d76-88ed-6a25abed0faf;Pelletier;Alexandrie;Moreno;Alexandrie.Pelletier@live.com;+33 (0)6 73 60 47 41;2;c302d11b-d5b8-310a-bbc5-9dd4400eb2c9;79775098611;0;1;Dr.
3dc3ed9e-b07e-3cb7-81c4-6607d11f20ca;Dufour;Thibaut;Lefevre;Thibaut.Dufour@club-internet.fr;01 70 44 52 00;2;b636c1fd-c61c-306b-9d4f-25cf3bfd9f66;16216406524;0;1;Dr.
a63afd36-5682-3ad1-971f-447c6fd45180;Denis;Adèle;Lefevre;Adle.Denis@laposte.net;+33 2 53 67 28 62;2;b636c1fd-c61c-306b-9d4f-25cf3bfd9f66;26599383463;0;1;Dr.
4d4680e8-b362-3ccc-93f0-69ba51d40e67;Foucher;Anne;Lefevre;Anne.Foucher@club-internet.fr;+33 5 53 70 29 91;2;b636c1fd-c61c-306b-9d4f-25cf3bfd9f66;03084995670;0;1;Dr.
da903aa3-21c2-3631-a08b-d8d054cccb48;David;Susanne;Lefevre;Susanne.David@hotmail.fr;+33 (0)1 52 84 03 11;2;b636c1fd-c61c-306b-9d4f-25cf3bfd9f66;21328242613;0;1;Dr.
c29223af-0dbe-3bba-8069-65743a4ae8b4;Faivre;Laure;Lefevre;Laure.Faivre@sfr.fr;+33 2 50 47 37 95;2;b636c1fd-c61c-306b-9d4f-25cf3bfd9f66;42398444797;0;1;Dr.
a960bb57-cf39-3636-9f6d-3ef52834ecfc;Parent;Marc;Lefevre;Marc.Parent@dbmail.com;08 92 01 83 29;2;b636c1fd-c61c-306b-9d4f-25cf3bfd9f66;59692746381;0;1;Dr.
f524d70d-0f02-3747-a6fb-8d6db043210e;Valette;René;Lefevre;Ren.Valette@orange.fr;0784754050;2;b636c1fd-c61c-306b-9d4f-25cf3bfd9f66;94798547676;0;1;Dr.
98cf3e54-0cb8-33f0-beae-2fad5ff62bdf;Le Gall;Michelle;Lefevre;Michelle.LeGall@free.fr;0293390604;2;b636c1fd-c61c-306b-9d4f-25cf3bfd9f66;78706107980;0;1;Dr.
794f6ea3-9801-334b-ba82-4ac71f70f6d2;Marechal;Inès;Bourdon-les-Bains;Ins.Marechal@wanadoo.fr;0469478837;2;7db214d9-f415-3110-991b-ec5f9774b685;14220499399;0;1;Dr.
e274a3f8-50b3-37c7-a061-333110a1560b;Imbert;Nicolas;Bourdon-les-Bains;Nicolas.Imbert@orange.fr;0947411224;2;7db214d9-f415-3110-991b-ec5f9774b685;40213239870;0;1;Dr.
7edb1b5e-eeaa-358e-84c5-1b66fc2fec2d;Thierry;Matthieu;Bourdon-les-Bains;Matthieu.Thierry@orange.fr;03 87 04 84 55;2;7db214d9-f415-3110-991b-ec5f9774b685;71459888313;0;1;Dr.
609bc828-4d34-3bb2-b527-93d80478d6b3;Gilbert;Adrien;Bourdon-les-Bains;Adrien.Gilbert@live.com;0897878909;2;7db214d9-f415-3110-991b-ec5f9774b685;83449681890;0;1;Dr.
341453e4-c122-3028-a712-af7ddad67975;Marin;Isaac;Bourdon-les-Bains;Isaac.Marin@live.com;0136647915;2;7db214d9-f415-3110-991b-ec5f9774b685;25655613522;0;1;Dr.
e3ba8e27-6ce8-38d8-bdbc-54c53259036f;Leduc;Caroline;Bourdon-les-Bains;Caroline.Leduc@noos.fr;04 17 24 73 44;2;7db214d9-f415-3110-991b-ec5f9774b685;08720049696;0;1;Dr.
fd23b913-b526-3b02-bf44-0dd2b25796bb;Langlois;Stéphanie;Bourdon-les-Bains;Stphanie.Langlois@tele2.fr;07 31 50 72 40;2;7db214d9-f415-3110-991b-ec5f9774b685;74019992092;0;1;Dr.
